path,artifactId,packaging,parentArtifactId,parentRelativePath,modules,dependencies,dependencyManagement
adapter/pom.xml,adapter,jar,cola-web-standard-parent,../pom.xml,0,2,0
app/pom.xml,app,jar,cola-web-standard-parent,../pom.xml,0,3,0
client/pom.xml,client,jar,cola-web-standard-parent,../pom.xml,0,2,0
component/cache-component/cache-api/pom.xml,cache-api,jar,cache-component,../pom.xml,0,0,0
component/cache-component/cache-config/pom.xml,cache-config,jar,cache-component,../pom.xml,0,2,0
component/cache-component/cache-core/pom.xml,cache-core,jar,cache-component,../pom.xml,0,3,0
component/cache-component/cache-demo/pom.xml,cache-demo,jar,cache-component,../pom.xml,0,5,0
component/cache-component/cache-integrations/governance/pom.xml,cache-integration-governance,jar,cache-integrations,../pom.xml,0,0,0
component/cache-component/cache-integrations/observability/pom.xml,cache-integration-observability,jar,cache-integrations,../pom.xml,0,4,0
component/cache-component/cache-integrations/pom.xml,cache-integrations,pom,cache-component,../pom.xml,2,0,0
component/cache-component/cache-provider/caffeine/pom.xml,cache-provider-caffeine,jar,cache-provider,../pom.xml,0,4,0
component/cache-component/cache-provider/composite/pom.xml,cache-provider-composite,jar,cache-provider,../pom.xml,0,2,0
component/cache-component/cache-provider/pom.xml,cache-provider,pom,cache-component,../pom.xml,3,0,0
component/cache-component/cache-provider/redis/pom.xml,cache-provider-redis,jar,cache-provider,../pom.xml,0,6,0
component/cache-component/cache-starter/pom.xml,cache-starter,jar,cache-component,../pom.xml,0,12,0
component/cache-component/pom.xml,cache-component,pom,component,../pom.xml,7,0,1
component/component-bom/pom.xml,component-bom,pom,cola-web-standard-parent,../../pom.xml,0,0,53
component/concurrency-component/concurrency-api/pom.xml,concurrency-api,jar,concurrency-component,../pom.xml,0,1,0
component/concurrency-component/concurrency-config/pom.xml,concurrency-config,jar,concurrency-component,../pom.xml,0,1,0
component/concurrency-component/concurrency-core/pom.xml,concurrency-core,jar,concurrency-component,../pom.xml,0,3,0
component/concurrency-component/concurrency-demo/pom.xml,concurrency-demo,jar,concurrency-component,../pom.xml,0,4,0
component/concurrency-component/concurrency-integrations/governance/pom.xml,concurrency-integration-governance,jar,concurrency-integrations,../pom.xml,0,0,0
component/concurrency-component/concurrency-integrations/observability/pom.xml,concurrency-integration-observability,jar,concurrency-integrations,../pom.xml,0,2,0
component/concurrency-component/concurrency-integrations/pom.xml,concurrency-integrations,pom,concurrency-component,../pom.xml,3,0,0
component/concurrency-component/concurrency-integrations/ttl/pom.xml,concurrency-integration-ttl,jar,concurrency-integrations,../pom.xml,0,0,0
component/concurrency-component/concurrency-provider/concurrency-provider-local/pom.xml,concurrency-provider-local,jar,concurrency-provider,../pom.xml,0,0,0
component/concurrency-component/concurrency-provider/concurrency-provider-redis/pom.xml,concurrency-provider-redis,jar,concurrency-provider,../pom.xml,0,0,0
component/concurrency-component/concurrency-provider/pom.xml,concurrency-provider,pom,concurrency-component,../pom.xml,2,0,0
component/concurrency-component/concurrency-starter/pom.xml,concurrency-starter,jar,concurrency-component,../pom.xml,0,9,0
component/concurrency-component/pom.xml,concurrency-component,pom,component,../pom.xml,7,0,1
